Year,ApplicationId,Title,Name,Gender,CareerStage,GrantType,isSalaryGrant,GrantSubType,Institution,State,BroadArea,Category,FoR,TotalAmount,GrantLength
2014,613638,Prof,Kum Kum Khanna,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,Queensland Institute of Medical Research,QLD,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Cell Biology,167383,1
2014,613674,A/Pr,Dale Nyholt,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,Queensland Institute of Medical Research,QLD,Basic Science,GENETICS,Quantitative Genetics (incl. Disease and Trait Mapping Genetics),135162,1
2014,620500,Prof,Sarah Russell,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,Swinburne University of Technology,VIC,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Cell Development Proliferation and Death,137329,1
2014,626906,A/Pr,Michael Beard,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,University of Adelaide,SA,Basic Science,MEDICAL MICROBIOLOGY,Medical Virology,122329,1
2014,627002,Prof,Christine Feinle-Bisset,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,University of Adelaide,SA,Clinical Medicine and Science,NUTRITION AND DIETICS,Nutritional Physiology,135162,1
2014,628319,A/Pr,Barbara Coulson,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,University of Melbourne,VIC,Basic Science,MEDICAL MICROBIOLOGY,Medical Virology,122329,1
2014,628344,A/Pr,Ann M Turnley,female,Senior,Grant Extension,TRUE,Research Fellowship,University of Melbourne,VIC,Basic Science,NEUROSCIENCES,Central Nervous System,122329,1
2014,628386,Prof,Christos Pantelis,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,University of Melbourne,VIC,Clinical Medicine and Science,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),182383,1
2014,628404,Prof,John D Wade,male,Senior,Grant Extension,TRUE,Research Fellowship,University of Melbourne,VIC,Basic Science,MEDICINAL AND BIOMOLECULAR CHEMISTRY,Proteins and Peptides,164074,1
2014,628426,Prof,Ygal Haupt,NA,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,University of Melbourne,VIC,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Cell Biology,135162,1
2014,628471,Prof,Anthony Scott,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,University of Melbourne,VIC,Health Services,APPLIED ECONOMICS,Health Economics,162996,1
2014,630445,Prof,Brett Garner,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,University of Wollongong,NSW,Basic Science,NEUROSCIENCES,Cellular Nervous System,122329,1
2014,630516,Prof,Caroline  Rae,female,Senior,Grant Extension,TRUE,Research Fellowship,University of New South Wales,NSW,Basic Science,NEUROSCIENCES,Neurosciences not elsewhere classified,135162,1
2014,631384,A/Pr,Brian Gabrielli,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,University of Queensland,QLD,Basic Science,ONCOLOGY AND CARCINOGENESIS,Molecular Targets,122329,1
2014,631386,Prof,Mark Walker,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,University of Queensland,QLD,Basic Science,MEDICAL MICROBIOLOGY,Medical Bacteriology,147996,1
2014,631421,Prof,Jennifer Martin,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,University of Queensland,QLD,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Structural Biology (incl. Macromolecular Modelling),135162,1
2014,632900,Prof,Barbara Fazekas de St Groth,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,University of Sydney,NSW,Clinical Medicine and Science,IMMUNOLOGY,Cellular Immunology,162996,1
2014,632909,Prof,Jie Jin Wang,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,University of Sydney,NSW,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,135162,1
2014,634304,Prof,Ruth Ganss,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,University of Western Australia,WA,Basic Science,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,135162,1
2014,634341,Prof,Carol Bower,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-Retiring Fellow,University of Western Australia,WA,NA,NA,NA,147996,1
2014,637306,A/Pr,Lynn Corcoran,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-Retiring Fellow,Walter and Eliza Hall Institute,VIC,NA,NA,NA,147996,1
2014,1076729,Dr,Maree Toombs,female,Early Career,NHMRC Strategic Awards,FALSE,TCR - Youth Suicide,University of Queensland,QLD,Public Health,PSYCHOLOGY,Psychological Methodology Design and Analysis,804737,4
2014,1076774,Dr,Roxanne Bainbridge,female,Early Career,NHMRC Strategic Awards,FALSE,TCR - Youth Suicide,James Cook University,QLD,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aboriginal and Torres Strait Islander Health,824876,5
2014,1076796,Prof,Anthony Jorm,male,Senior,NHMRC Strategic Awards,FALSE,TCR - Youth Suicide,University of Melbourne,VIC,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aboriginal and Torres Strait Islander Health,1140372,3
2014,1076817,A/Pr,Gary Robinson,male,Mid Career,NHMRC Strategic Awards,FALSE,TCR - Youth Suicide,Menzies School of Health Research,NT,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aboriginal and Torres Strait Islander Health,1745899,5
2014,1077633,Dr,Meredith O'Keeffe,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,Macfarlane Burnet Institute for Medical Research and Public Health,VIC,Basic Science,IMMUNOLOGY,Innate Immunity,611645,5
2014,1077636,Prof,James Beeson,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,Macfarlane Burnet Institute for Medical Research and Public Health,VIC,Clinical Medicine and Science,MEDICAL MICROBIOLOGY,Medical Parasitology,750810,5
2014,1077677,A/Pr,James Bourne,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,Monash University,VIC,Basic Science,NEUROSCIENCES,Central Nervous System,611645,5
2014,1077691,A/Pr,Jane Pillow,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,University of Western Australia,WA,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Paediatrics,611645,5
2014,1077694,A/Pr,Jeremy Thompson,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,University of Adelaide,SA,Basic Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Reproduction,750810,5
2014,1077703,Prof,Matthew Watt,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,Monash University,VIC,Basic Science,MEDICAL PHYSIOLOGY,Medical Physiology not elsewhere classified,611645,5
2014,1077750,Prof,Benjamin Kile,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Walter and Eliza Hall Institute,VIC,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Cell Development Proliferation and Death,761513,4
2014,1077769,A/Pr,Timothy Moss,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Paediatrics,1008691.2,4
2014,1077788,Prof,Martin Ebert,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Western Australia,WA,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Radiation Therapy,535546.9,4
2014,1077789,Dr,Lachlan Thompson,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Basic Science,NEUROSCIENCES,Central Nervous System,718472,3
2014,1077791,Dr,Peter Noble,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Western Australia,WA,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Respiratory Diseases,519830,3
2014,1077792,Dr,Kaylene Young,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Tasmania,TAS,Basic Science,NEUROSCIENCES,Central Nervous System,586299.6,3
2014,1077799,Prof,Gail Risbridger,female,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Solid Tumours,851914.8,4
2014,1077804,Prof,Gavan McNally,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of New South Wales,NSW,Basic Science,PSYCHOLOGY,Biological Psychology (Neuropsychology Psychopharmacology Physiological Psychology),375784.5,3
2014,1077806,Prof,Gavan McNally,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of New South Wales,NSW,Basic Science,PSYCHOLOGY,Biological Psychology (Neuropsychology Psychopharmacology Physiological Psychology),484936.5,3
2014,1077859,Prof,Paul Fitzgerald,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Clinical Medicine and Science,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),967355.4,5
2014,1077867,Prof,Ricky Johnstone,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,University of Melbourne,VIC,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Therapy (excl. Chemotherapy and Radiation Therapy),836915,5
2014,1077898,A/Pr,Julie Bernhardt,female,Mid Career,Centre for Research Excellence,FALSE,Centre for Research Excellence - Clinical Research,University of Melbourne,VIC,Clinical Medicine and Science,NEUROSCIENCES,Central Nervous System,2500000,5
2014,1077905,A/Pr,Graeme Zosky,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Tasmania,TAS,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Respiratory Diseases,603878.5,3
2014,1077931,Prof,John Newnham,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Western Australia,WA,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Obstetrics and Gynaecology,563493,3
2014,1077934,Prof,Lynne Bilston,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,University of New South Wales,NSW,Public Health,BIOMEDICAL ENGINEERING,Biomechanical Engineering,675810,5
2014,1077966,Prof,Andrew Whitehouse,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,University of Western Australia,WA,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Paediatrics,675810,5
2014,1077989,Prof,Martin Lavin,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Basic Science,GENETICS,Neurogenetics,920797.5,4
2014,1078026,A/Pr,Marianne Chapman,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Clinical Medicine and Science,CLINICAL SCIENCES,Intensive Care,3534236.2,5
2014,1078029,Prof,Michael Good,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,Griffith University,QLD,Clinical Medicine and Science,MEDICAL MICROBIOLOGY,Medical Parasitology,911915,5
2014,1078037,Prof,Peter Visscher,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,University of Queensland,QLD,Basic Science,GENETICS,Quantitative Genetics (incl. Disease and Trait Mapping Genetics),886915,5
2014,1078042,Prof,Moira O'Bryan,female,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Reproduction,1076798.5,4
2014,1078046,Prof,Fran Baum,female,Senior,Centre for Research Excellence,FALSE,Centre for Research Excellence - Population Health Research,Flinders University,SA,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,2471076,5
2014,1078061,Prof,Simon Gandevia,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,University of New South Wales,NSW,Clinical Medicine and Science,NEUROSCIENCES,Neurosciences not elsewhere classified,911915,5
2014,1078065,Prof,Leann Tilley,female,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Basic Science,MEDICAL MICROBIOLOGY,Medical Parasitology,792182.5,3
2014,1078068,A/Pr,Jodie McVernon,female,Mid Career,Centre for Research Excellence,FALSE,Centre for Research Excellence - Population Health Research,University of Melbourne,VIC,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,2495031,5
2014,1078069,A/Pr,Franz Babl,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Murdoch Childrens Research Institute,VIC,Clinical Medicine and Science,CLINICAL SCIENCES,Emergency Medicine,1102561.6,5
2014,1078077,A/Pr,Lisa Jamieson,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Adelaide,SA,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aboriginal and Torres Strait Islander Health,996489.5,4
2014,1078106,Prof,Jennifer Couper,female,Senior,Centre for Research Excellence,FALSE,Centre for Research Excellence - Type 1 Diabetes Research,University of Adelaide,SA,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Paediatrics,2500000,5
2014,1078113,A/Pr,Andrew Stevenson,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Clinical Medicine and Science,CLINICAL SCIENCES,Surgery,573259.1,5
2014,1078117,Prof,Hongyuan Yang,NA,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of New South Wales,NSW,Basic Science,MEDICAL BIOCHEMISTRY AND METABOLOMICS,Medical Biochemistry: Lipids,737660,4
2014,1078118,Prof,Christoph Hagemeyer,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Baker IDI Heart and Diabetes Institute ,VIC,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),593813,3
2014,1078134,Dr,Hayden Homer,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of New South Wales,NSW,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Reproduction,515615.5,3
2014,1078142,Dr,Michael Skilton,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),951296.71,5
2014,1078159,A/Pr,Thomas Burne,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Basic Science,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,319776,3
2014,1078164,A/Pr,Karen Moritz,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,University of Queensland,QLD,Basic Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Foetal Development and Medicine,675810,5
2014,1078168,A/Pr,Stuart Kinner,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,University of Melbourne,VIC,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,686645,5
2014,1078186,Dr,Marc Pellegrini,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,Walter and Eliza Hall Institute,VIC,Clinical Medicine and Science,MEDICAL MICROBIOLOGY,Medical Infection Agents (incl. Prions),611645,5
2014,1078190,Prof,Timothy Jones,male,Senior,Centre for Research Excellence,FALSE,Centre for Research Excellence - Type 1 Diabetes Research,University of Western Australia,WA,Clinical Medicine and Science,CLINICAL SCIENCES,Endocrinology,2490789,5
2014,1078214,Dr,Bridgette McNamara,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Baker IDI Heart and Diabetes Institute ,VIC,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aboriginal and Torres Strait Islander Health,634885.8,4
2014,1078220,A/Pr,Kieran Harvey,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,University of Melbourne,VIC,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Signal Transduction,611645,5
2014,1078243,Prof,Jonathan Sprent,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,Garvan Institute of Medical Research,NSW,Basic Science,IMMUNOLOGY,Cellular Immunology,836915,5
2014,1078247,Dr,Jonathan Tan,male,Early Career,NHMRC Project Grants,FALSE,New Investigator Grant,Australian National University,ACT,Basic Science,MEDICAL BIOTECHNOLOGY,Regenerative Medicine (incl. Stem Cells and Tissue Engineering),401398,3
2014,1078273,A/Pr,Aleksandra Filipovska,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Western Australia,WA,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Biochemistry and Cell Biology not elsewhere classified,559492,3
2014,1078280,A/Pr,Nathan Pavlos,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Western Australia,WA,Basic Science,CLINICAL SCIENCES,Orthopaedics,603813,3
2014,1078300,Dr,Andrew Bivard,male,Early Career,NHMRC Project Grants,FALSE,New Investigator Grant,University of Newcastle,NSW,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiovascular medicine and Haematology nec,390000,3
2014,1078333,A/Pr,Louise Maple-Brown,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Menzies School of Health Research,NT,Clinical Medicine and Science,CLINICAL SCIENCES,Endocrinology,2295624.7,5
2014,1078345,A/Pr,Rachael Moorin,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Curtin University of Technology,WA,Health Services,PUBLIC HEALTH AND HEALTH SERVICES,Primary Health Care,793864.02,4
2014,1078360,A/Pr,David Dunstan,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,Baker IDI Heart and Diabetes Institute,VIC,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,611645,5
2014,1078379,Prof,Deborah Trinder,female,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Western Australia,WA,Basic Science,CLINICAL SCIENCES,Gastroenterology and Hepatology,648475,3
2014,1078399,Prof,Grant Montgomery,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,Queensland Institute of Medical Research,QLD,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,739980,5
2014,1078407,Prof,Maree Teesson,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,University of New South Wales,NSW,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Mental Health,739980,5
2014,1078442,Prof,Jennifer Wilkinson-Berka,female,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,OPHTHALMOLOGY and OPTOMETRY,Vision Science,823372.5,4
2014,1078444,Prof,Helena Teede,female,Senior,Centre for Research Excellence,FALSE,Centre for Research Excellence - Clinical Research,Monash University,VIC,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Obstetrics and Gynaecology,2489052,5
2014,1078464,Dr,Martin Sale,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Basic Science,NEUROSCIENCES,Central Nervous System,415105.5,3
2014,1078468,Prof,Andreas Suhrbier,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Queensland Institute of Medical Research,QLD,Basic Science,MEDICAL MICROBIOLOGY,Medical Virology,623475,3
2014,1078471,Prof,Christine Feinle-Bisset,female,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Adelaide,SA,Clinical Medicine and Science,NUTRITION AND DIETICS,Nutritional Physiology,779906.25,4
2014,1078477,A/Pr,Louise Maple-Brown,female,Mid Career,NHMRC Research Fellowships,TRUE,Practitioner Fellowship,Menzies School of Health Research,NT,Clinical Medicine and Science,CLINICAL SCIENCES,Endocrinology,262678,5
2014,1078483,A/Pr,Jane Pillow,female,Mid Career,NHMRC Research Fellowships,TRUE,Practitioner Fellowship,University of Western Australia,WA,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Paediatrics,459687,5
2014,1078494,A/Pr,David Booth,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,University of Sydney,NSW,Clinical Medicine and Science,GENETICS,Genetic Immunology,611645,5
2014,1078523,A/Pr,Bettina Meiser,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,University of New South Wales,NSW,Public Health,GENETICS,Genetics not elsewhere classified,750810,5
2014,1078541,A/Pr,Carl Kirkwood,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,Murdoch Childrens Research Institute,VIC,Clinical Medicine and Science,MEDICAL MICROBIOLOGY,Medical Virology,675810,5
2014,1078557,Prof,Amanda Leach,female,Senior,Centre for Research Excellence,FALSE,Centre for Research Excellence - Clinical Research,Menzies School of Health Research,NT,Clinical Medicine and Science,CLINICAL SCIENCES,Infectious Diseases,2499750,5
2014,1078567,Prof,Paul Fitzgerald,male,Senior,NHMRC Research Fellowships,TRUE,Practitioner Fellowship,Monash University,VIC,Clinical Medicine and Science,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),551436,5
2014,1078579,Prof,Peter Gibson,male,Senior,Centre for Research Excellence,FALSE,Centre for Research Excellence - Clinical Research,University of Newcastle,NSW,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Respiratory Diseases,2498171,5
2014,1078600,Prof,Peter Sly,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Respiratory Diseases,1088362,5
2014,1078609,Prof,Mark Cooper,male,Senior,Centre for Research Excellence,FALSE,Centre for Research Excellence - Type 1 Diabetes Research,Baker IDI Heart and Diabetes Institute ,VIC,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),2500000,5
2014,1078624,Prof,Jonathan Morris,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,1646937.76,5
2014,1078642,Prof,Alice Vrielink,female,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Western Australia,WA,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Structural Biology (incl. Macromolecular Modelling),648199.5,3
2014,1078643,Dr,Fabienne Brilot,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Basic Science,NEUROSCIENCES,Central Nervous System,402975.55,3
2014,1078649,A/Pr,Michael Dibley,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,2274822.6,4
2014,1078671,Prof,Mark Smyth,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,Queensland Institute of Medical Research,QLD,Basic Science,IMMUNOLOGY,Tumour Immunology,911915,5
2014,1078694,A/Pr,Tim Hewitson,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Melbourne Health,VIC,Basic Science,CLINICAL SCIENCES,Nephrology and Urology,367077,3
2014,1078697,Dr,Andrew Harman,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Basic Science,MEDICAL MICROBIOLOGY,Medical Virology,633813,3
2014,1078707,Prof,Jenny Gunton,female,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Basic Science,NUTRITION AND DIETICS,Nutritional Physiology,946891.6,4
2014,1078730,Prof,Geoffrey Lindeman,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,Walter and Eliza Hall Institute,VIC,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Cancer Cell Biology,911915,5
2014,1078737,Prof,Nic Nicola,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,Walter and Eliza Hall Institute,VIC,Basic Science,IMMUNOLOGY,Immunology not elsewhere classified,911915,5
2014,1078749,A/Pr,Peter Catcheside,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Flinders University,SA,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Respiratory Diseases,402615.5,3
2014,1078752,Prof,Bruce Kemp,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,St Vincent's Institute of Medical Research,VIC,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Cell Metabolism,836915,5
2014,1078756,Dr,Margaret Wright,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Queensland Institute of Medical Research,QLD,Basic Science,PUBLIC HEALTH AND HEALTH SERVICES,Mental Health,1634767,5
2014,1078763,Dr,Daniel Gray,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Walter and Eliza Hall Institute,VIC,Basic Science,IMMUNOLOGY,Cellular Immunology,565784.5,3
2014,1078808,Prof,Mark Cooper,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship,Baker IDI Heart and Diabetes Institute,VIC,Clinical Medicine and Science,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,911915,5
2014,1078877,Prof,Roslyn Boyd,female,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Clinical Medicine and Science,CLINICAL SCIENCES,Rehabilitation and Therapy (excl. Physiotherapy),939038.75,4
